Rank,Batter,Season,Runs,Innings,Balls,Outs,Average,Strike Rate,Fours,Sixes,Dot Ball %,Boundary %,Balls per Boundary,Strike Rotation %,PP SR,Middle SR,Death SR,Highest Score,50+ Scores,Qualified
1,Shubman Gill,2023,890,17,564,15.0,59.33,157.8,85.0,33.0,26.6,60.45,4.78,52.48,150.85,157.72,187.5,129,7.0,True
2,F du Plessis,2023,730,14,475,13.0,56.15,153.68,60.0,36.0,28.0,62.47,4.95,51.79,168.54,135.09,185.29,84,8.0,True
3,DP Conway,2023,672,15,481,13.0,51.69,139.71,77.0,18.0,34.1,61.9,5.06,46.15,133.48,144.76,148.78,92,6.0,True
4,V Kohli,2023,639,14,457,12.0,53.25,139.82,65.0,16.0,28.45,55.71,5.64,53.83,136.82,134.01,185.0,101,8.0,True
5,YBK Jaiswal,2023,625,14,382,13.0,48.08,163.61,83.0,26.0,39.79,78.08,3.5,31.68,175.24,137.34,261.11,124,6.0,True
6,SA Yadav,2023,605,16,334,14.0,43.21,181.14,65.0,28.0,27.54,70.74,3.59,44.61,124.32,182.93,213.73,103,6.0,True
7,RD Gaikwad,2023,590,15,400,14.0,42.14,147.5,46.0,30.0,33.5,61.69,5.26,47.5,146.81,150.33,125.0,92,4.0,True
8,DA Warner,2023,516,14,392,14.0,36.86,131.63,69.0,10.0,40.05,65.12,4.96,39.8,145.85,117.83,106.67,86,6.0,True
9,RK Singh,2023,474,14,317,8.0,59.25,149.53,31.0,29.0,31.86,62.87,5.28,49.21,163.64,112.82,186.67,67,4.0,True
10,Ishan Kishan,2023,454,15,318,15.0,30.27,142.77,54.0,18.0,40.88,71.37,4.42,36.48,144.78,139.53,50.0,75,3.0,True
11,C Green,2023,452,16,282,9.0,50.22,160.28,40.0,22.0,28.01,64.6,4.55,50.0,173.96,140.43,193.33,100,3.0,True
12,H Klaasen,2023,448,11,253,9.0,49.78,177.08,32.0,25.0,19.37,62.05,4.44,58.1,200.0,168.24,187.36,104,3.0,True
